Process,Topic,SAP Table,Business Table,Fact/Dim Table,Functional Description,Measures
Demand and Supply Planning,New Product Demand & Planning,PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,New Product Demand & Planning,PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,New Product Demand & Planning,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,New Product Demand & Planning,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Demand and Supply Planning,New Product Demand & Planning,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,New Product Demand & Planning,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,New Product Demand & Planning,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Demand and Supply Planning,New product development tracking,MDKP,Demand Planning,Fact Demand Plan,Demand planning document header and revision history,"forecast quantity, forecast error, planned quantity"
Demand and Supply Planning,New product development tracking,MDTB,Demand Planning,Fact Demand Plan,MRP item details for independent requirements,"forecast quantity, planning quantity"
Demand and Supply Planning,New product development tracking,PBIM,Demand Planning,Fact Demand Plan,Independent requirements by material and planning segment,"forecast quantity, demand quantity"
Demand and Supply Planning,New product development tracking,PBED,Demand Planning,Fact Demand Plan,Independent requirement schedule lines for planning horizons,"forecast quantity, schedule quantity"
Demand and Supply Planning,New product development tracking,PLAF,Demand Planning,Fact Demand Plan,Planned order workbook for supply planning,"planned order quantity, planned order value"
Demand and Supply Planning,New product development tracking,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Demand and Supply Planning,New product development tracking,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Demand and Supply Planning,New product development tracking,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Demand and Supply Planning,New product development tracking,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Demand and Supply Planning,New product development tracking,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Procurement and Supplier Management,Supplier Lead Times,EKKO,Purchase Order,Fact Procurement Order,Purchase order header and approval attributes,"ordered quantity, order value, price variance"
Procurement and Supplier Management,Supplier Lead Times,EKPO,Purchase Order,Fact Procurement Order,"Purchase order item details with material, vendor and invoicing references","ordered quantity, order value"
Procurement and Supplier Management,Supplier Lead Times,EKET,Purchase Order,Fact Procurement Order,Purchase order schedule lines supporting delivery and quantity planning,"scheduled quantity, scheduled delivery date"
Procurement and Supplier Management,Supplier Lead Times,EKBE,Purchase Order,Fact Procurement Order,Purchase order history for goods receipts and invoices,"movement quantity, posted amount"
Procurement and Supplier Management,Supplier Lead Times,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Procurement and Supplier Management,Supplier Lead Times,INFO,Procurement Info Record,Dim Procurement Info,Purchasing info record master for supplier/material binding,
Procurement and Supplier Management,Supplier Lead Times,EINA,Procurement Info Record,Dim Procurement Info,Purchase info record general data for vendor conditions,
Procurement and Supplier Management,Supplier Lead Times,EINE,Procurement Info Record,Dim Procurement Info,Purchase info record purchasing organization data,
Procurement and Supplier Management,Supplier Lead Times,LFA1,Supplier Master,Dim Supplier,Supplier general master data and relationship attributes,
Procurement and Supplier Management,Supplier Lead Times,LFB1,Supplier Master,Dim Supplier,Supplier company code data for AP and financial validation,
Procurement and Supplier Management,Supplier Lead Times,LFM1,Supplier Master,Dim Supplier,Supplier purchasing organization data for sourcing and compliance,
Procurement and Supplier Management,Supplier Lead Times,KONV,Pricing Conditions,Dim Pricing,Pricing condition records used by sales and procurement documents,
Procurement and Supplier Management,Supplier Lead Times,RBKP,Procurement Invoice,Fact Procurement Invoice,Invoice receipt header for purchase order billing,"invoice amount, tax amount, payment amount"
Procurement and Supplier Management,Supplier Lead Times,RSEG,Procurement Invoice,Fact Procurement Invoice,Invoice receipt item details with PO and material references,"invoice quantity, invoice amount"
Procurement and Supplier Management,Supplier Lead Times,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Procurement and Supplier Management,Supplier Lead Times,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Procurement and Supplier Management,Supplier Lead Times,BSIK,Receivables & Payables,Fact AR/AP,Open vendor line items used in payables and supplier performance analysis,"open amount, aging days"
Procurement and Supplier Management,Supplier Lead Times,BSAK,Receivables & Payables,Fact AR/AP,Cleared vendor line items used in payables aging and cash flow analysis,"cleared amount, clearing date"
Procurement and Supplier Management,Order Fulfillment Rate,EKKO,Purchase Order,Fact Procurement Order,Purchase order header and approval attributes,"ordered quantity, order value, price variance"
Procurement and Supplier Management,Order Fulfillment Rate,EKPO,Purchase Order,Fact Procurement Order,"Purchase order item details with material, vendor and invoicing references","ordered quantity, order value"
Procurement and Supplier Management,Order Fulfillment Rate,EKET,Purchase Order,Fact Procurement Order,Purchase order schedule lines supporting delivery and quantity planning,"scheduled quantity, scheduled delivery date"
Procurement and Supplier Management,Order Fulfillment Rate,EKBE,Purchase Order,Fact Procurement Order,Purchase order history for goods receipts and invoices,"movement quantity, posted amount"
Procurement and Supplier Management,Order Fulfillment Rate,EBAN,Purchase Requisition,Fact Procurement Demand,Purchase requisitions used for demand and sourcing analysis,"requested quantity, requested value"
Procurement and Supplier Management,Order Fulfillment Rate,INFO,Procurement Info Record,Dim Procurement Info,Purchasing info record master for supplier/material binding,
Procurement and Supplier Management,Order Fulfillment Rate,EINA,Procurement Info Record,Dim Procurement Info,Purchase info record general data for vendor conditions,
Procurement and Supplier Management,Order Fulfillment Rate,EINE,Procurement Info Record,Dim Procurement Info,Purchase info record purchasing organization data,
Procurement and Supplier Management,Order Fulfillment Rate,LFA1,Supplier Master,Dim Supplier,Supplier general master data and relationship attributes,
Procurement and Supplier Management,Order Fulfillment Rate,LFB1,Supplier Master,Dim Supplier,Supplier company code data for AP and financial validation,
